"Jahr";"Examensstufe";"Fachrichtung";"Geschlecht";"Hochschule";Abschlüsse der universitären Hochschulen
"2020";"Master";"Linguistik";"Frau";"BE";4
"2020";"Master";"Linguistik";"Frau";"FR";0
"2020";"Master";"Linguistik";"Frau";"GE";2
"2020";"Master";"Linguistik";"Frau";"LS";0
"2020";"Master";"Linguistik";"Frau";"LU";0
"2020";"Master";"Linguistik";"Frau";"NE";3
"2020";"Master";"Linguistik";"Frau";"SG";0
"2020";"Master";"Linguistik";"Frau";"UZH";7
"2020";"Master";"Linguistik";"Frau";"USI";0
"2020";"Master";"Linguistik";"Frau";"Andere UI";0
"2020";"Master";"Linguistik";"Frau";"EPFL";0
"2020";"Master";"Linguistik";"Frau";"ETHZ";0
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Mann";"BS";0
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Mann";"BE";5
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Mann";"FR";4
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Mann";"GE";0
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Mann";"LS";2
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Mann";"LU";0
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Mann";"NE";0
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Mann";"SG";0
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Mann";"UZH";9
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Mann";"USI";0
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Mann";"Andere UI";0
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Mann";"EPFL";0
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Mann";"ETHZ";0
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Frau";"BS";0
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Frau";"BE";17
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Frau";"FR";10
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Frau";"GE";12
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Frau";"LS";9
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Frau";"LU";0
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Frau";"NE";0
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Frau";"SG";0
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Frau";"UZH";29
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Frau";"USI";0
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Frau";"Andere UI";0
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Frau";"EPFL";0
"2020";"Master";"Deutsche Sprach- und Literaturwissenschaften";"Frau";"ETHZ";0
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Mann";"BS";0
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Mann";"BE";3
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Mann";"FR";6
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Mann";"GE";11
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Mann";"LS";16
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Mann";"LU";0
